Timestamp,Inplay delay,Market status,Selection ID,Selection name,BP1,BV1,BP2,BV2,BP3,BV3,LP1,LV1,LP2,LV2,LP3,LV3,Total matched,LPM, Set1, Set2, Set3, Points 
1322738103800,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738104801,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738104801,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738105801,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738105801,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738106802,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738106802,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738107802,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738107802,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738108803,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738108803,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738109803,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738109803,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738110804,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738110804,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738111804,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738111804,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738112805,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738112805,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738113805,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738113805,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738114806,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738114806,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738115806,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738115806,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738116807,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738116807,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738117807,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738117807,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738118808,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738118808,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738119808,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738119808,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738120809,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738120809,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738121809,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738121809,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738122810,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738122810,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738123810,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738123810,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
1322738124811,0,ACTIVE,2690877,Henri Leconte,1.2,16.02, 1.19,3.75, 1.1,8.57,6.2,12.8,0.0,0,0,0,0
1322738124811,0,ACTIVE,2690880,John McEnroe,1.2,18.91, 1.19,3.75, 1.1,8.57,6.2,13.95,0.0,0,0,0,0
