1322419803519 , Jo Wilfried Tsonga , 0 , 0 , 0 , 0
1322419803519 , Roger Federer , 0 , 0 , 0 , 0
1322419804519 , Jo Wilfried Tsonga , 0 , 0 , 0 , 0
1322419804520 , Roger Federer , 0 , 0 , 0 , 0
1322419805520 , Jo Wilfried Tsonga , 0 , 0 , 0 , 0
1322419805520 , Roger Federer , 0 , 0 , 0 , 0
1322419806521 , Jo Wilfried Tsonga , 0 , 0 , 0 , 0
1322419806521 , Roger Federer , 0 , 0 , 0 , 0
1322419807521 , Jo Wilfried Tsonga , 0 , 0 , 0 , 0
1322419807522 , Roger Federer , 0 , 0 , 0 , 0
1322419808522 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419808522 , Roger Federer , 6 , 4 , 0 , 0
1322419809523 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419809523 , Roger Federer , 6 , 4 , 0 , 0
1322419810523 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419810523 , Roger Federer , 6 , 4 , 0 , 0
1322419811524 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419811524 , Roger Federer , 6 , 4 , 0 , 0
1322419812524 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419812525 , Roger Federer , 6 , 4 , 0 , 0
1322419813525 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419813525 , Roger Federer , 6 , 4 , 0 , 0
1322419814526 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419814526 , Roger Federer , 6 , 4 , 0 , 0
1322419815527 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419815527 , Roger Federer , 6 , 4 , 0 , 0
1322419816527 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419816528 , Roger Federer , 6 , 4 , 0 , 0
1322419817528 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419817529 , Roger Federer , 6 , 4 , 0 , 0
1322419818529 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419818529 , Roger Federer , 6 , 4 , 0 , 0
1322419819531 , Jo Wilfried Tsonga , 3 , 3 , 0 , 0
1322419819531 , Roger Federer , 6 , 4 , 0 , 0
